,size,total_sqft,bath,balcony,price,site_location,price_per_sq_ft
64,2.0,1205.0,2.0,2.0,37.0,Alandi Road,3070.539419087137
65,3.0,1265.0,2.0,1.0,65.0,Alandi Road,5138.339920948617
66,2.0,1350.0,2.0,3.0,68.0,Alandi Road,5037.037037037037
67,3.0,1975.0,3.0,3.0,90.0,Alandi Road,4556.962025316456
68,2.0,1189.0,2.0,1.0,45.0,Alandi Road,3784.6930193439866
69,2.0,1100.0,2.0,1.0,48.0,Alandi Road,4363.636363636364
70,1.0,375.0,1.0,0.0,40.0,Alandi Road,10666.666666666666
71,2.0,1763.0,3.0,2.0,240.0,Alandi Road,13613.159387407828
72,2.0,1012.0,2.0,1.0,59.0,Alandi Road,5830.0395256917
73,2.0,900.0,2.0,1.0,41.0,Alandi Road,4555.555555555556
74,2.0,1008.0,2.0,2.0,32.25,Alandi Road,3199.404761904762
75,2.0,1265.0,2.0,2.0,46.6,Alandi Road,3683.794466403162
76,2.0,1200.0,2.0,0.0,75.0,Alandi Road,6250.0
77,2.0,1194.0,2.0,1.0,51.0,Alandi Road,4271.356783919598
78,4.0,3596.0,5.0,1.0,279.0,Alandi Road,7758.620689655172
79,3.0,1801.0,3.0,2.0,115.0,Alandi Road,6385.341476957246
80,3.0,1719.0,3.0,2.0,135.0,Alandi Road,7853.4031413612565
81,4.0,2519.0,5.0,2.0,185.0,Alandi Road,7344.184200079397
82,3.0,1500.0,2.0,2.0,63.0,Alandi Road,4200.0
83,2.0,700.0,2.0,0.0,43.0,Alandi Road,6142.857142857143
84,3.0,3000.0,3.0,0.0,338.0,Alandi Road,11266.666666666666
85,5.0,2400.0,5.0,2.0,200.0,Alandi Road,8333.333333333334
86,2.0,1084.0,2.0,2.0,50.0,Alandi Road,4612.546125461255
87,2.0,1000.0,2.0,2.0,58.0,Alandi Road,5800.0
88,4.0,1150.0,4.0,2.0,260.0,Alandi Road,22608.695652173912
89,2.0,937.0,2.0,1.0,35.0,Alandi Road,3735.325506937033
90,4.0,3000.0,4.0,2.0,301.0,Alandi Road,10033.333333333334
91,2.0,1244.0,2.0,2.0,88.0,Alandi Road,7073.954983922829
92,3.0,1540.0,3.0,3.0,85.0,Alandi Road,5519.480519480519
93,3.0,1475.0,2.0,2.0,74.0,Alandi Road,5016.949152542373
94,3.0,3000.0,3.0,3.0,400.0,Alandi Road,13333.333333333334
95,3.0,1080.0,2.0,2.0,75.0,Alandi Road,6944.444444444444
96,3.0,1260.0,2.0,1.0,75.0,Alandi Road,5952.380952380952
97,5.0,1100.0,5.0,1.0,165.0,Alandi Road,15000.0
98,3.0,1569.0,3.0,0.0,70.0,Alandi Road,4461.440407903123
99,2.0,1246.0,2.0,1.0,67.4,Alandi Road,5409.309791332264
100,3.0,1260.0,2.0,3.0,40.32,Alandi Road,3200.0
101,3.0,1589.0,3.0,2.0,74.0,Alandi Road,4657.016991818754
102,2.0,1091.0,2.0,1.0,33.82,Alandi Road,3099.908340971586
103,2.0,815.0,3.0,2.0,160.0,Alandi Road,19631.9018404908
104,2.0,914.0,2.0,1.0,32.0,Alandi Road,3501.09409190372
105,3.0,1856.0,3.0,2.0,135.0,Alandi Road,7273.706896551724
106,2.0,1200.0,2.0,2.0,45.0,Alandi Road,3750.0
107,2.0,1040.0,2.0,2.0,50.0,Alandi Road,4807.692307692308
108,2.0,995.0,2.0,1.0,41.0,Alandi Road,4120.603015075377
109,2.0,1080.0,2.0,2.0,45.0,Alandi Road,4166.666666666667
110,3.0,1756.0,3.0,2.0,128.0,Alandi Road,7289.293849658315
111,4.0,4700.0,5.0,3.0,800.0,Alandi Road,17021.27659574468
112,4.0,1200.0,4.0,1.0,125.0,Alandi Road,10416.666666666666
113,4.0,2360.0,4.0,2.0,601.0,Alandi Road,25466.101694915254
114,2.0,1360.0,2.0,1.0,95.0,Alandi Road,6985.294117647059
115,6.0,1799.0,6.0,3.0,101.0,Alandi Road,5614.230127848805
116,3.0,1685.0,3.0,3.0,115.0,Alandi Road,6824.925816023739
117,2.0,984.0,2.0,1.0,45.91,Alandi Road,4665.650406504065
118,1.0,500.0,1.0,1.0,30.0,Alandi Road,6000.0
119,2.0,890.0,2.0,1.0,40.0,Alandi Road,4494.38202247191
120,1.0,705.0,1.0,1.0,65.0,Alandi Road,9219.85815602837
121,4.0,2894.0,4.0,1.0,245.0,Alandi Road,8465.791292328957
122,2.0,1150.0,2.0,0.0,36.8,Alandi Road,3199.9999999999995
123,3.0,2144.6,4.0,2.0,145.0,Alandi Road,6761.167583698592
124,3.0,1655.0,3.0,2.0,86.06,Alandi Road,5200.0
125,2.0,1225.0,2.0,2.0,55.0,Alandi Road,4489.7959183673465
126,3.0,1255.0,3.0,1.0,90.0,Alandi Road,7171.314741035857
127,3.0,1743.0,3.0,2.0,93.25,Alandi Road,5349.971313826735
128,3.0,1305.0,3.0,1.0,33.28,Alandi Road,2550.191570881226
129,2.0,780.0,2.0,2.0,25.0,Ambegaon Budruk,3205.128205128205
130,4.0,1650.0,4.0,3.0,320.0,Ambegaon Budruk,19393.939393939392
131,3.0,1340.0,2.0,1.0,100.0,Ambegaon Budruk,7462.686567164179
132,2.0,950.0,2.0,1.0,40.0,Ambegaon Budruk,4210.526315789473
133,2.0,1200.0,2.0,2.0,52.5,Ambegaon Budruk,4375.0
134,3.0,1260.0,2.0,1.0,45.0,Ambegaon Budruk,3571.4285714285716
135,3.0,1512.0,3.0,2.0,103.0,Ambegaon Budruk,6812.169312169312
136,3.0,1665.0,3.0,2.0,86.91,Ambegaon Budruk,5219.81981981982
137,2.0,1315.0,2.0,3.0,55.0,Ambegaon Budruk,4182.509505703422
138,2.0,1070.0,2.0,1.0,54.0,Ambegaon Budruk,5046.728971962617
139,3.0,1516.0,3.0,1.0,147.0,Ambegaon Budruk,9696.569920844327
140,4.0,3250.0,4.0,3.0,230.0,Ambegaon Budruk,7076.923076923077
141,2.0,884.0,2.0,1.0,41.1,Ambegaon Budruk,4649.321266968326
142,3.0,1576.0,3.0,2.0,58.0,Ambegaon Budruk,3680.203045685279
143,3.0,1490.0,3.0,0.0,85.0,Ambegaon Budruk,5704.697986577181
144,2.0,1150.0,2.0,1.0,45.99,Ambegaon Budruk,3999.1304347826085
145,3.0,1130.0,2.0,3.0,45.19,Ambegaon Budruk,3999.1150442477874
146,2.0,1242.0,2.0,2.0,65.0,Ambegaon Budruk,5233.494363929147
147,6.0,1500.0,6.0,1.0,300.0,Ambegaon Budruk,20000.0
148,2.0,1200.0,2.0,0.0,65.0,Ambegaon Budruk,5416.666666666667
149,4.0,2600.0,5.0,3.0,120.0,Ambegaon Budruk,4615.384615384615
150,2.0,919.0,2.0,2.0,34.0,Ambegaon Budruk,3699.6735582154515
151,6.0,1680.0,4.0,1.0,250.0,Ambegaon Budruk,14880.952380952382
152,3.0,1280.0,3.0,1.0,50.0,Ambegaon Budruk,3906.25
153,2.0,1200.0,2.0,2.0,45.0,Ambegaon Budruk,3750.0
154,2.0,750.0,2.0,1.0,36.5,Ambegaon Budruk,4866.666666666667
155,4.0,2400.0,4.0,1.0,344.0,Ambegaon Budruk,14333.333333333334
156,3.0,1725.0,3.0,2.0,106.0,Ambegaon Budruk,6144.927536231884
157,2.0,1107.83,2.0,1.0,41.51,Ambegaon Budruk,3746.964787016059
158,3.0,1800.0,3.0,2.0,93.0,Ambegaon Budruk,5166.666666666667
159,2.0,1140.0,2.0,2.0,52.0,Ambegaon Budruk,4561.403508771929
160,3.0,1450.0,2.0,2.0,73.0,Ambegaon Budruk,5034.482758620689
161,6.0,1150.0,6.0,2.0,75.0,Ambegaon Budruk,6521.739130434783
162,2.0,1010.0,2.0,1.0,35.0,Ambegaon Budruk,3465.3465346534654
163,3.0,600.0,4.0,0.0,95.0,Ambegaon Budruk,15833.333333333334
164,2.0,1089.0,2.0,1.0,43.55,Ambegaon Budruk,3999.0817263544536
165,2.0,1035.0,2.0,1.0,39.0,Ambegaon Budruk,3768.1159420289855
166,2.0,1112.0,2.0,1.0,58.0,Ambegaon Budruk,5215.827338129497
167,3.0,1220.0,2.0,1.0,35.23,Ambegaon Budruk,2887.7049180327863
168,2.0,1398.0,2.0,1.0,97.0,Ambegaon Budruk,6938.483547925608
169,4.0,3122.0,6.0,2.0,245.0,Ambegaon Budruk,7847.533632286995
170,3.0,1082.0,2.0,1.0,49.0,Ambegaon Budruk,4528.650646950093
171,3.0,1230.0,2.0,2.0,53.51,Ambegaon Budruk,4350.40650406504
172,2.0,1250.0,2.0,1.0,60.0,Ambegaon Budruk,4800.0
173,4.0,3270.0,4.0,3.0,205.0,Ambegaon Budruk,6269.113149847095
174,3.0,1345.0,2.0,1.0,57.0,Ambegaon Budruk,4237.918215613383
175,2.0,1274.0,2.0,2.0,48.42,Ambegaon Budruk,3800.6279434850862
176,3.0,1819.18,3.0,1.0,160.0,Ambegaon Budruk,8795.17145087347
177,2.0,1174.0,2.0,1.0,75.0,Ambegaon Budruk,6388.415672913117
178,3.0,1500.0,3.0,1.0,72.99,Ambegaon Budruk,4865.999999999999
179,2.0,1075.0,2.0,2.0,30.0,Ambegaon Budruk,2790.6976744186045
180,2.0,1220.0,2.0,1.0,55.0,Ambegaon Budruk,4508.196721311476
181,4.0,623.0,4.0,1.0,75.0,Ambegaon Budruk,12038.52327447833
182,3.0,2600.0,3.0,2.0,147.0,Ambegaon Budruk,5653.846153846154
183,3.0,2000.0,2.0,0.0,180.0,Ambegaon Budruk,9000.0
184,4.0,2560.0,4.0,2.0,75.0,Ambegaon Budruk,2929.6875
185,2.0,1200.0,1.0,0.0,50.0,Ambegaon Budruk,4166.666666666667
186,3.0,1500.0,2.0,1.0,143.0,Ambegaon Budruk,9533.333333333334
187,2.0,1215.0,2.0,1.0,68.0,Ambegaon Budruk,5596.707818930041
188,2.0,1036.0,2.0,1.0,50.0,Ambegaon Budruk,4826.254826254826
189,3.0,1444.0,2.0,1.0,80.0,Ambegaon Budruk,5540.16620498615
190,2.0,1015.0,2.0,2.0,25.88,Ambegaon Budruk,2549.753694581281
191,3.0,7800.0,3.0,2.0,2000.0,Ambegaon Budruk,25641.02564102564
192,4.0,2400.0,5.0,2.0,190.0,Ambegaon Budruk,7916.666666666667
193,3.0,1600.0,2.0,1.0,90.0,Ambegaon Budruk,5625.0
194,4.0,1125.0,4.0,3.0,180.0,Ambegaon Budruk,16000.0
195,3.0,1806.0,3.0,3.0,85.0,Ambegaon Budruk,4706.5337763012185
196,3.0,1355.0,3.0,1.0,61.0,Ambegaon Budruk,4501.845018450184
197,7.0,1500.0,6.0,0.0,210.0,Ambegaon Budruk,14000.0
198,2.0,560.0,2.0,1.0,22.0,Ambegaon Budruk,3928.5714285714284
199,3.0,1452.0,3.0,3.0,60.0,Ambegaon Budruk,4132.231404958678
200,2.0,1390.0,2.0,2.0,65.0,Ambegaon Budruk,4676.258992805755
201,2.0,1258.0,2.0,0.0,58.0,Ambegaon Budruk,4610.492845786964
202,2.0,1000.0,2.0,1.0,68.0,Ambegaon Budruk,6800.0
203,2.0,883.0,2.0,1.0,45.0,Ambegaon Budruk,5096.262740656852
204,3.0,2210.0,3.0,3.0,165.0,Ambegaon Budruk,7466.06334841629
205,8.0,1200.0,8.0,2.0,225.0,Ambegaon Budruk,18750.0
206,3.0,2750.0,5.0,2.0,550.0,Ambegaon Budruk,20000.0
207,2.0,1065.0,2.0,3.0,50.0,Ambegaon Budruk,4694.835680751174
208,2.0,1220.0,2.0,2.0,62.0,Ambegaon Budruk,5081.9672131147545
209,2.0,1165.0,2.0,1.0,52.0,Ambegaon Budruk,4463.519313304721
210,3.0,1180.0,2.0,2.0,78.34,Ambegaon Budruk,6638.983050847458
211,3.0,1505.0,2.0,2.0,60.0,Ambegaon Budruk,3986.7109634551493
212,3.0,1690.0,3.0,2.0,112.0,Ambegaon Budruk,6627.218934911242
213,2.0,900.0,2.0,1.0,72.0,Ambegaon Budruk,8000.0
214,3.0,1790.0,3.0,2.0,120.0,Ambegaon Budruk,6703.91061452514
215,3.0,2400.0,2.0,3.0,50.0,Ambegaon Budruk,2083.3333333333335
216,2.0,1146.0,2.0,1.0,39.5,Ambegaon Budruk,3446.7713787085513
217,2.0,1240.0,2.0,1.0,60.0,Ambegaon Budruk,4838.709677419355
218,2.0,900.0,2.0,0.0,55.0,Ambegaon Budruk,6111.111111111111
219,3.0,1550.0,3.0,2.0,258.0,Ambegaon Budruk,16645.16129032258
220,3.0,1444.0,2.0,2.0,71.5,Ambegaon Budruk,4951.523545706371
221,3.0,1700.0,3.0,1.0,180.0,Ambegaon Budruk,10588.235294117647
222,1.0,500.0,1.0,1.0,20.0,Ambegaon Budruk,4000.0
223,2.0,1330.0,2.0,1.0,86.98,Ambegaon Budruk,6539.849624060151
224,6.0,600.0,6.0,3.0,100.0,Ambegaon Budruk,16666.666666666668
225,4.0,2100.0,6.0,1.0,252.0,Ambegaon Budruk,12000.0
226,3.0,2650.0,4.0,0.0,175.0,Ambegaon Budruk,6603.773584905661
227,5.0,2800.0,3.0,2.0,425.0,Ambegaon Budruk,15178.57142857143
228,3.0,1724.0,3.0,1.0,146.0,Ambegaon Budruk,8468.677494199535
229,3.0,2400.0,2.0,1.0,125.0,Ambegaon Budruk,5208.333333333333
230,3.0,1741.0,3.0,2.0,80.0,Ambegaon Budruk,4595.060310166571
231,3.0,1500.0,3.0,3.0,95.0,Ambegaon Budruk,6333.333333333333
232,4.0,3122.0,6.0,2.0,245.0,Ambegaon Budruk,7847.533632286995
233,1.0,1351.0,2.0,1.0,53.0,Ambegaon Budruk,3923.019985196151
234,2.0,1045.0,2.0,1.0,45.0,Ambegaon Budruk,4306.2200956937795
235,3.0,1410.0,2.0,2.0,45.12,Ambegaon Budruk,3200.0
236,2.0,1160.0,2.0,2.0,49.0,Ambegaon Budruk,4224.137931034483
237,2.0,1450.0,1.0,0.0,230.0,Ambegaon Budruk,15862.068965517241
238,2.0,1000.0,2.0,1.0,60.0,Ambegaon Budruk,6000.0
239,3.0,1890.0,4.0,3.0,127.0,Ambegaon Budruk,6719.576719576719
240,4.0,6000.0,5.0,3.0,400.0,Ambegaon Budruk,6666.666666666667
241,2.0,1360.0,2.0,1.0,103.0,Ambegaon Budruk,7573.529411764706
242,2.0,1215.0,2.0,1.0,67.0,Ambegaon Budruk,5514.40329218107
243,2.0,984.0,2.0,1.0,45.91,Ambegaon Budruk,4665.650406504065
244,7.0,1800.0,7.0,1.0,250.0,Ambegaon Budruk,13888.888888888889
245,3.0,2060.0,3.0,1.0,149.0,Ambegaon Budruk,7233.0097087378645
246,3.0,2275.0,4.0,2.0,185.0,Ambegaon Budruk,8131.868131868132
247,2.0,1115.0,2.0,2.0,50.0,Ambegaon Budruk,4484.304932735426
248,2.0,1263.0,2.0,1.0,78.0,Ambegaon Budruk,6175.771971496437
249,2.0,1310.0,2.0,3.0,60.0,Ambegaon Budruk,4580.152671755725
250,2.0,1395.0,2.0,0.0,75.0,Ambegaon Budruk,5376.344086021505
251,2.0,925.0,2.0,1.0,35.0,Ambegaon Budruk,3783.7837837837837
252,4.0,3436.0,6.0,3.0,500.0,Ambegaon Budruk,14551.804423748545
253,3.0,1330.0,2.0,1.0,48.0,Ambegaon Budruk,3609.0225563909776
254,2.0,1086.0,2.0,2.0,44.5,Ambegaon Budruk,4097.605893186003
255,1.0,500.0,1.0,1.0,33.0,Ambegaon Budruk,6600.0
256,4.0,600.0,4.0,3.0,125.0,Ambegaon Budruk,20833.333333333332
257,2.0,1089.0,2.0,1.0,49.0,Ambegaon Budruk,4499.540863177227
258,2.0,1340.0,2.0,3.0,85.0,Ambegaon Budruk,6343.2835820895525
259,6.0,1200.0,4.0,1.0,110.0,Ambegaon Budruk,9166.666666666666
260,3.0,1350.0,3.0,2.0,70.0,Ambegaon Budruk,5185.185185185185
261,2.0,913.0,2.0,1.0,36.0,Ambegaon Budruk,3943.0449069003284
262,1.0,600.0,1.0,0.0,47.0,Ambegaon Budruk,7833.333333333333
263,3.0,1400.0,3.0,2.0,74.0,Anandnagar,5285.714285714285
264,2.0,919.0,2.0,2.0,35.0,Anandnagar,3808.487486398259
265,9.0,600.0,9.0,3.0,190.0,Anandnagar,31666.666666666668
266,7.0,3000.0,6.0,3.0,180.0,Anandnagar,6000.0
267,2.0,1460.0,2.0,3.0,70.0,Anandnagar,4794.520547945205
268,2.0,1290.0,2.0,1.0,85.0,Anandnagar,6589.147286821705
269,2.0,966.0,2.0,1.0,49.0,Anandnagar,5072.463768115942
270,2.0,1152.0,1.0,0.0,66.0,Anandnagar,5729.166666666667
271,2.0,1314.0,2.0,2.0,110.0,Anandnagar,8371.38508371385
272,3.0,1725.0,2.0,1.0,165.0,Anandnagar,9565.217391304348
273,3.0,1768.0,3.0,3.0,81.31,Anandnagar,4598.981900452489
274,2.0,1027.0,2.0,2.0,42.0,Anandnagar,4089.581304771178
275,3.0,1800.0,3.0,3.0,90.0,Anandnagar,5000.0
276,3.0,2197.0,4.0,3.0,280.0,Anandnagar,12744.651797906236
277,2.0,1033.0,2.0,1.0,52.58,Anandnagar,5090.0290416263315
278,2.0,1330.0,2.0,2.0,80.0,Anandnagar,6015.037593984963
279,3.0,1464.0,2.0,2.0,115.0,Anandnagar,7855.191256830601
280,3.0,1400.0,2.0,1.0,73.0,Anandnagar,5214.285714285715
281,3.0,1500.0,3.0,2.0,56.0,Anandnagar,3733.3333333333335
282,2.0,1300.0,1.0,1.0,115.0,Anandnagar,8846.153846153846
283,3.0,1629.0,3.0,2.0,79.0,Anandnagar,4849.600982197668
284,2.0,900.0,2.0,1.0,41.0,Anandnagar,4555.555555555556
285,2.0,850.0,2.0,1.0,25.99,Anandnagar,3057.6470588235293
286,2.0,1020.0,2.0,1.0,46.0,Anandnagar,4509.803921568628
287,2.0,1045.0,2.0,1.0,58.0,Anandnagar,5550.239234449761
288,2.0,950.0,2.0,2.0,38.0,Anandnagar,4000.0
289,2.0,1088.0,2.0,1.0,30.46,Anandnagar,2799.6323529411766
290,3.0,2200.0,3.0,2.0,275.0,Anandnagar,12500.0
291,1.0,416.0,1.0,1.0,18.0,Anandnagar,4326.923076923077
292,5.0,500.0,3.0,2.0,65.0,Anandnagar,13000.0
293,3.0,1280.0,2.0,1.0,100.0,Anandnagar,7812.5
294,3.0,1100.0,2.0,1.0,75.0,Anandnagar,6818.181818181818
295,2.0,1148.0,2.0,1.0,56.0,Anandnagar,4878.048780487805
296,3.0,1757.0,3.0,2.0,132.0,Anandnagar,7512.805919180421
297,4.0,2328.0,4.0,1.0,528.0,Anandnagar,22680.41237113402
298,4.0,3555.0,4.0,1.0,230.0,Anandnagar,6469.760900140647
299,3.0,1176.0,2.0,1.0,35.27,Anandnagar,2999.149659863946
300,4.0,1200.0,3.0,2.0,125.0,Anandnagar,10416.666666666666
301,2.0,1115.0,2.0,2.0,60.0,Anandnagar,5381.165919282511
302,4.0,2400.0,5.0,3.0,550.0,Anandnagar,22916.666666666668
303,3.0,1240.0,4.0,1.0,180.0,Anandnagar,14516.129032258064
304,2.0,1117.0,2.0,2.0,56.0,Anandnagar,5013.428827215756
305,2.0,1000.0,2.0,0.0,70.0,Anandnagar,7000.0
306,2.0,1200.0,2.0,1.0,125.0,Anandnagar,10416.666666666666
307,1.0,500.0,2.0,1.0,24.0,Anandnagar,4800.0
308,3.0,1730.0,3.0,1.0,96.0,Anandnagar,5549.132947976878
309,2.0,985.0,2.0,1.0,50.17,Anandnagar,5093.401015228426
310,4.0,2100.0,4.0,1.0,90.0,Anandnagar,4285.714285714285
311,3.0,1460.0,3.0,1.0,73.0,Anandnagar,5000.0
312,3.0,1910.0,3.0,3.0,119.0,Anandnagar,6230.366492146597
313,4.0,1200.0,4.0,1.0,83.0,Anandnagar,6916.666666666667
314,4.0,1200.0,4.0,3.0,155.0,Anandnagar,12916.666666666666
315,5.0,900.0,3.0,2.0,80.0,Anandnagar,8888.888888888889
316,2.0,770.0,1.0,1.0,38.0,Anandnagar,4935.064935064935
317,3.0,1535.0,3.0,1.0,78.0,Anandnagar,5081.4332247557
318,3.0,1491.0,3.0,1.0,88.0,Anandnagar,5902.079141515761
319,2.0,1200.0,2.0,1.0,36.0,Anandnagar,3000.0
320,2.0,1125.0,2.0,1.0,32.49,Anandnagar,2888.0
321,2.0,850.0,2.0,1.0,25.4,Anandnagar,2988.235294117647
322,1.0,645.0,1.0,0.0,42.5,Anandnagar,6589.147286821705
323,3.0,1750.0,3.0,1.0,123.0,Anandnagar,7028.571428571428
324,1.0,702.0,1.0,1.0,52.0,Anandnagar,7407.407407407408
325,4.0,2400.0,4.0,3.0,250.0,Anandnagar,10416.666666666666
326,1.0,750.0,1.0,1.0,52.5,Anandnagar,7000.0
327,3.0,1200.0,2.0,1.0,34.0,Anandnagar,2833.3333333333335
328,2.0,1020.0,2.0,2.0,60.0,Anandnagar,5882.35294117647
329,2.0,1600.0,2.0,1.0,90.0,Anandnagar,5625.0
330,3.0,35000.0,3.0,3.0,130.0,Anandnagar,371.42857142857144
331,2.0,1010.0,2.0,2.0,46.0,Anandnagar,4554.455445544554
332,3.0,1662.0,3.0,3.0,85.1,Anandnagar,5120.336943441636
333,2.0,1100.0,2.0,1.0,41.0,Anandnagar,3727.2727272727275
334,4.0,1100.0,4.0,2.0,220.0,Anandnagar,20000.0
335,1.0,410.0,1.0,1.0,10.0,Anandnagar,2439.0243902439024
336,3.0,1355.0,3.0,2.0,83.87,Anandnagar,6189.667896678967
337,3.0,1495.0,2.0,2.0,52.33,Anandnagar,3500.334448160535
338,4.0,1450.0,3.0,3.0,132.0,Anandnagar,9103.448275862069
339,3.0,1613.0,3.0,0.0,150.0,Anandnagar,9299.442033477992
340,6.0,2400.0,6.0,2.0,475.0,Anandnagar,19791.666666666668
341,3.0,1732.0,3.0,1.0,85.73,Anandnagar,4949.769053117783
342,1.0,665.0,1.0,2.0,32.0,Anandnagar,4812.0300751879695
343,3.0,1929.0,4.0,1.0,101.0,Anandnagar,5235.873509590461
344,2.0,1200.0,2.0,2.0,60.0,Anandnagar,5000.0
345,2.0,1052.0,2.0,2.0,52.0,Anandnagar,4942.9657794676805
346,1.0,900.0,1.0,0.0,175.0,Anandnagar,19444.444444444445
347,3.0,1583.0,3.0,3.0,76.1,Anandnagar,4807.327858496525
348,2.0,1025.0,2.0,1.0,28.57,Anandnagar,2787.317073170732
349,3.0,1750.0,3.0,2.0,130.0,Anandnagar,7428.571428571428
350,4.0,3400.0,4.0,2.0,275.0,Anandnagar,8088.235294117647
351,3.0,1770.0,3.0,2.0,90.0,Anandnagar,5084.745762711865
352,2.0,1050.0,2.0,3.0,40.0,Anandnagar,3809.5238095238096
353,3.0,1800.0,2.0,1.0,45.0,Anandnagar,2500.0
354,2.0,1100.0,2.0,1.0,41.15,Anandnagar,3740.909090909091
355,2.0,972.0,2.0,2.0,40.0,Anandnagar,4115.22633744856
